mean,median
84.89874630556993,85.34615384615384
63.90449279819167,65.33333333333333
20.477317927690745,20.0
31.067846940342484,30.666666666666668
54.718294707713575,55.0
31.544272379930412,31.666666666666668
65.77961598547293,68.33333333333333
11.75855143263926,12.0
32.78407191063115,32.666666666666664
5.3754770733333337e-05,5.3754770733333337e-05
76.5761935483871,57.506
121.31828306878306,139.0
12.226079646017702,1.3
44.166666666666664,43.0
82.76018391754708,83.8
46.78093433612959,46.8
88.96279678068412,72.85
71.57077089246384,70.52

Samples used to generate histogram plot: 517991
